date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team,xg,xga
2023-07-22,15:15,Premier League,Matchweek 1,Sat,Away,W,2,0,Nizhny Novgorod,76,12036,Douglas Santos,4-3-3,5-3-2,Sergey Ivanov,Match Report,,11,2,,0,0,2023,Zenit,,
2023-07-29,20:00,Premier League,Matchweek 2,Sat,Away,D,1,1,Rostov,48,16413,Douglas Santos,4-3-3,4-3-3,Evgeny Kukulyak,Match Report,,6,1,,0,0,2023,Zenit,,
2023-08-06,19:00,Premier League,Matchweek 3,Sun,Home,L,2,3,Dynamo Mosc,68,24672,Douglas Santos,4-3-3,4-2-3-1,Aleksey Amelin,Match Report,,15,5,,0,0,2023,Zenit,,
2023-08-13,17:30,Premier League,Matchweek 4,Sun,Home,W,2,0,Fakel Voronezh,72,19558,Douglas Santos,5-3-2,5-3-2,Pavel Shadykhanov,Match Report,,10,6,,0,0,2023,Zenit,,
2023-08-20,19:30,Premier League,Matchweek 5,Sun,Away,W,3,1,Spartak Moscow,48,33852,Douglas Santos,4-3-3,4-3-3,Sergey Karasev,Match Report,,12,3,,0,0,2023,Zenit,,
2023-08-26,15:00,Premier League,Matchweek 6,Sat,Home,W,4,0,Ural,67,25723,Douglas Santos,5-3-2,4-2-3-1,Artem Chistyakov,Match Report,,15,7,,0,0,2023,Zenit,,
2023-09-03,17:30,Premier League,Matchweek 7,Sun,Away,D,1,1,CSKA Moscow,71,20947,Douglas Santos,5-3-2,3-4-3,Pavel Kukuyan,Match Report,,14,4,,0,0,2023,Zenit,,
2023-09-17,16:30,Premier League,Matchweek 8,Sun,Away,W,3,0,Rubin Kazan,61,10429,Douglas Santos,4-3-3,5-3-2,Rafael Shafeev,Match Report,,5,4,,0,0,2023,Zenit,,
2023-09-24,16:30,Premier League,Matchweek 9,Sun,Home,L,1,2,Loko Moscow,58,36283,Douglas Santos,5-3-2,4-2-3-1,Vladimir Moskalev,Match Report,,15,2,,0,0,2023,Zenit,,
2023-09-30,14:00 (12:00),Premier League,Matchweek 10,Sat,Away,L,1,3,Orenburg,68,5482,Douglas Santos,5-3-2,4-3-3,Sergey Ivanov,Match Report,,32,14,,0,0,2023,Zenit,,
2023-10-07,15:00 (14:00),Premier League,Matchweek 11,Sat,Away,W,2,0,Sochi,61,5617,Douglas Santos,4-2-3-1,3-4-3,Vladislav Bezborodov,Match Report,,8,3,,1,1,2023,Zenit,,
2023-10-22,16:30,Premier League,Matchweek 12,Sun,Home,W,3,1,Samara,59,24402,Douglas Santos,4-2-3-1,4-2-3-1,Artem Chistyakov,Match Report,,19,6,,0,0,2023,Zenit,,
2023-10-28,19:00,Premier League,Matchweek 13,Sat,Home,W,2,1,Akhmat Grozny,65,17967,Douglas Santos,4-4-2,4-2-3-1,Sergey Karasev,Match Report,,13,3,,0,0,2023,Zenit,,
2023-11-04,18:00 (19:00),Premier League,Matchweek 14,Sat,Away,W,2,0,FC Baltika Kaliningrad,64,16929,Douglas Santos,4-4-2,5-3-2,Aleksey Sukhoy,Match Report,,10,4,,0,0,2023,Zenit,,
2023-11-11,19:30,Premier League,Matchweek 15,Sat,Home,D,1,1,Krasnodar,60,46701,Douglas Santos,4-4-2◆,4-1-4-1,Sergey Karasev,Match Report,,17,4,,0,0,2023,Zenit,,
2023-11-25,15:15,Premier League,Matchweek 16,Sat,Home,W,3,0,Sochi,64,21964,Douglas Santos,3-4-3,3-4-3,Kirill Levnikov,Match Report,,14,7,,0,1,2023,Zenit,,
2023-12-03,16:30,Premier League,Matchweek 17,Sun,Away,L,1,3,Loko Moscow,63,10060,Douglas Santos,5-3-2,4-2-3-1,Aleksey Sukhoy,Match Report,,9,3,,0,0,2023,Zenit,,
2023-12-09,19:45,Premier League,Matchweek 18,Sat,Home,W,1,0,Nizhny Novgorod,62,24951,Douglas Santos,4-3-3,5-3-2,Sergey Ivanov,Match Report,,12,8,,0,0,2023,Zenit,,
